EJERCICIO;GASTO/INGRESO;CAPITULO;ARTICULO;CONCEPTO;SUBCONCEPTO;DESCRIPCION CORTA;DESCRIPCION LARGA
2014;G;1;;;;Gastos de Personal;Gastos de Personal
2014;G;2;;;;Gtos.Bienes Corr. y Serv.;Gastos en Bienes Corrientes y Servicios
2014;G;3;;;;Gastos Financieros;Gastos Financieros
2014;G;4;;;;Transferencias Corrientes;Transferencias Corrientes
2014;G;5;;;;Fondo Contingencia;Fondo de Contingencia de Ejecución Presupuestaria
2014;G;6;;;;Inversiones Reales;Inversiones Reales
2014;G;7;;;;Transferencias de Capital;Transferencias de Capital
2014;G;8;;;;Activos Financieros;Activos Financieros
2014;G;9;;;;Pasivos Financieros;Pasivos Financieros
2014;G;1;10;;;Altos Cargos;Altos Cargos
2014;G;1;11;;;Person. Eventual Gabinete;Personal Eventual de Gabinete
2014;G;1;12;;;Funcionarios;Funcionarios
2014;G;1;13;;;Laborales;Laborales
2014;G;1;14;;;Otro personal;Otro personal
2014;G;1;15;;;Incentivos al rendimiento;Incentivos al rendimiento
2014;G;1;16;;;Cuotas sociales empleador;Cuotas, prest. y gtos soc. a cargo del empleador
2014;G;1;17;;;Gtos personal distribuir;Gastos de personal a distribuir
2014;G;1;18;;;Pers. Instit. Sanitarias;Personal de Instituciones Sanitarias
2014;G;2;20;;;Arrendamientos;Arrendamientos
2014;G;2;21;;;Reparación y conservación;Reparación y conservación
2014;G;2;22;;;Material, suminis.y otros;Material, suministros y otros
2014;G;2;23;;;Indemnizac. por servicio;Indemnizaciones por razón del servicio
2014;G;2;24;;;Servicios nuevos;Servicios nuevos
2014;G;2;25;;;Otr gtos b.corrient y ser;Otros gastos en bienes corrientes y servicios
2014;G;2;26;;;Serv.Asist. medios ajenos;Servicios asistenciales con medios ajenos
2014;G;3;30;;;De deuda interior;De deuda interior
2014;G;3;31;;;De préstamos del interior;De préstamos del interior
2014;G;3;32;;;De préstamos del exterior;De préstamos del exterior
2014;G;3;35;;;Depósitos,fianzas,avales;De depósitos, fianzas y avales
2014;G;3;39;;;Otro préstamos y anticip.;Otros préstamos y anticipos
2014;G;4;40;;;A la Admón del Estado;A la Administración del Estado
2014;G;4;41;;;A Organismos Autónomos;A Organismos Autónomos
