# Comarcas obtenidas a partir de - por ejemplo - http://opendata.aragon.es/dataset/cifras-poblacion-revision-padron-municipal-2006-comarcas
# Municipios obtenidos del INE: http://www.ine.es/daco/daco42/codmun/codmunmapa.htm
CA1,comunidad,Aragón
01,comarca,La Jacetania
02,comarca,Alto Gállego
03,comarca,Sobrarbe
04,comarca,La Ribagorza
05,comarca,Cinco Villas
06,comarca,Hoya de Huesca / Plana de Uesca
07,comarca,Somontano de Barbastro
08,comarca,Cinca Medio
09,comarca,La Litera / La Llitera
10,comarca,Los Monegros
11,comarca,Bajo Cinca / Baix Cinca
12,comarca,Tarazona y el Moncayo
13,comarca,Campo de Borja
14,comarca,Aranda
15,comarca,Ribera Alta del Ebro
16,comarca,Valdejalón
17,comarca,D.C. Zaragoza
18,comarca,Ribera Baja del Ebro
19,comarca,Bajo Aragón-Caspe / Baix Aragó-Casp
20,comarca,Comunidad de Calatayud
21,comarca,Campo de Cariñena
22,comarca,Campo de Belchite
23,comarca,Bajo Martín
24,comarca,Campo de Daroca
25,comarca,Jiloca
26,comarca,Cuencas Mineras
27,comarca,Andorra-Sierra de Arcos
28,comarca,Bajo Aragón
29,comarca,Comunidad de Teruel
30,comarca,Maestrazgo
31,comarca,Sierra de Albarracín
32,comarca,Gúdar-Javalambre
33,comarca,Matarraña / Matarranya
22001,municipio,Abiego
22002,municipio,Abizanda
22003,municipio,Adahuesca
22004,municipio,Agüero
22907,municipio,Aínsa-Sobrarbe
22006,municipio,Aisa
22007,municipio,Albalate de Cinca
22008,municipio,Albalatillo
22009,municipio,Albelda
22011,municipio,Albero Alto
22012,municipio,Albero Bajo
22013,municipio,Alberuela de Tubo
22014,municipio,Alcalá de Gurrea
22015,municipio,Alcalá del Obispo
22016,municipio,Alcampell
22017,municipio,Alcolea de Cinca
22018,municipio,Alcubierre
22019,municipio,Alerre
22020,municipio,Alfántega
22021,municipio,Almudévar
22022,municipio,Almunia de San Juan
22023,municipio,Almuniente
22024,municipio,Alquézar
22025,municipio,Altorricón
22027,municipio,Angüés
22028,municipio,Ansó
