EJERCICIO;GASTO/INGRESO;CAPITULO;ARTICULO;CONCEPTO;SUBCONCEPTO;DESCRIPCION CORTA;DESCRIPCION LARGA
2021;G;1;;;;Gastos de Personal;Gastos de Personal
2021;G;1;10;;;Altos Cargos;Altos Cargos
2021;G;1;10;100;;Básicas y otras Alt.Cargo;Retr. básicas y otras de Altos Cargos
2021;G;1;10;100;100000;Retr.básicas de Alt.Cargo;Retribuciones básicas de Altos Cargos
2021;G;1;10;100;100001;Otras remun. de Alt.Cargo;Otras remuneraciones de Altos Cargos
2021;G;1;10;100;100005;Trienios;Trienios
2021;G;1;10;100;100006;Pagas Extraordinarias Altos Cargos;Pagas Extraordinarias Altos Cargos
2021;G;1;10;100;100009;Otras remuneraciones complementarias;Otras remuneraciones complementarias
2021;G;1;10;101;;Retrib.basic y otras rem. SGT, DG y asimilados;Retrib.basic y otras rem. SGT, DG y asimilados
2021;G;1;10;101;101000;Retribuciones básicas de SGT, DG y asimilados;Retribuciones básicas de SGT, DG y asimilados
2021;G;1;10;101;101001;Complemento de destino de SGT, DG y asimilados;Complemento de destino de SGT, DG y asimilados
2021;G;1;10;101;101002;Complemento específico de SGT, DG y asimilados;Complemento específico de SGT, DG y asimilados
2021;G;1;10;101;101005;Trienios de SGT, DG y asimilados;Trienios de SGT, DG y asimilados
2021;G;1;10;101;101006;Pagas extraordinarias de SGT, DG y asimilados;Pagas extraordinarias de SGT, DG y asimilados
2021;G;1;10;101;101009;Otras rem. complementarias de SGT, DG y asimilados;Otras rem. complementarias de SGT, DG y asimilados
2021;G;1;11;;;Person. Eventual Gabinete;Personal Eventual de Gabinete
2021;G;1;11;110;;Básicas y otras P.Ev.Gab.;Retr. básicas y otras de Person. Eventual Gabinete
2021;G;1;11;110;110000;Retr.básicas de P.Ev.Gab.;Retribuciones básicas Pers. Eventual de Gabinete
2021;G;1;11;110;110001;Otras remun. de P.Ev.Gab.;Otras remuneraciones de Pers. Eventual de Gabinete
2021;G;1;11;110;110005;Trienios de P.Ev.Gab.;Trienios de Pers. Eventual de Gabinete
2021;G;1;11;110;110006;Pagas extra. de P.Ev.Gab.;Pagas extraordinarias Pers. Eventual de Gabinete
2021;G;1;11;110;110009;Otras retribuciones complementarias de personal ev;Otras retribuciones complementarias de personal ev
2021;G;1;12;;;Funcionarios;Funcionarios
2021;G;1;12;120;;Ret. básicas Funcionarios;Retribuciones básicas de Personal Funcionario
