EJERCICIO;GASTO/INGRESO;ORIGEN;FONDO;FINANCIACION;DESCRIPCION CORTA;DESCRIPCION LARGA
2021;G;1;;;UNIÓN EUROPEA;UNIÓN EUROPEA
2021;G;1;11;;FONDO SOCIAL EUROPEO;FONDO SOCIAL EUROPEO
2021;G;1;11;11099;FSE P. OPERAT. ANTER 2007;FSE PROG. OPERATIVOS ANTERIORES 2007
2021;G;1;11;11101;PROG.OP. FSE 2007-2013;PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2007-2013
2021;G;1;11;11201;PROG.OP. FSE 2014-2020;PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2014-2020
2021;G;1;12;;FEAGA  - FEADER;FEAGA  - FEADER
2021;G;1;12;12100;FONDOS ANTERIORES DE FEAGA GARANTÍA;FONDOS ANTERIORES DE FEAGA GARANTÍA
2021;G;1;12;12101;FEAGA GARANTÍA;FEAGA  GARANTÍA
2021;G;1;12;12102;FEADER 2007-2013;FEADER
2021;G;1;12;12202;FEADER 2014-2020;FEADER 2014-2020
2021;G;1;13;;FEOGA ORIENTACIÓN;FEOGA ORIENTACIÓN
2021;G;1;14;;F.E.D.E.R.;F.E.D.E.R.
2021;G;1;14;14099;FEDER P.OPERA. ANTER 2007;FEDER PROG. OPERATIVOS ANTERIORES 2007
2021;G;1;14;14101;PROG.OP. FEDER 2007-2013;PROGRAMA OPERATIVO FEDER 2007-2013
2021;G;1;14;14102;PROG. COOP. TRANSFRONTERI;PROGRAMA DE COOPERACIÓN TRANSFRONTERIZA
2021;G;1;14;14103;FEDER 2007-2013 PROY HITO;PROGRAMA OPERATIVO FEDER 2007-2013 PROYECTO HITO
2021;G;1;14;14104;PROG. COOP. INTERREGIONAL;PROGRAMA DE COOPERACIÓN INTERRREGIONAL
2021;G;1;14;14105;PROG.COMUNIT. 2007-2013 POCTEFA EFA200/11. CULTURA;PROG.COMUNIT. 2007-2013 POCTEFA EFA200/11. CULTURA
2021;G;1;14;14106;INTERREG EUROPE 2014-2020;INTERREG EUROPE 2014-2020
2021;G;1;14;14201;PROG.OP. FEDER 2014-2020;PROGRAMA OPERATIVO FEDER 2014-2020
2021;G;1;14;14202;POCTEFA 2014-2020;POCTEFA 2014-2020
2021;G;1;14;14203;POCTEFA - ECOGYP;POCTEFA - ECOGYP
2021;G;1;14;14204;POCTEFA - HABIOS;POCTEFA - HABIOS
2021;G;1;14;14205;INTERREG SUDOE Praderas;INTERREG SUDOE Praderas
2021;G;1;14;14206;POCTEFA - Ordesa;POCTEFA - Ordesa
2021;G;1;14;14207;INTERREG SUDOE 2014-2020;INTERREG SUDOE 2014-2020
2021;G;1;14;14208;INTERREG EUROPE 2014-2020;INTERREG EUROPE 2014-2020
2021;G;1;14;14209;EUROPA REACT-UE;EUROPA REACT-UE
