EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2021;12500;100000;91003;Tarifa Autonómica del I.R.P.F.;1454862750
2021;12500;100006;91003;Tarifa Autonómica IRPF Ejercicios Anteriores;37446205,23
2021;12500;110000;91003;Sobre adquisiciones por herencia o legado;105000000
2021;12500;110003;91003;Donaciones;500000
2021;12500;111000;91003;Sobre el patrimonio neto de las personas físicas;42000000
2021;12500;115000;91003;Impuestos Depósitos Entidades de Crédito;10000000
2021;12500;200000;91003;Sobre Transmisiones Patrimoniales Onerosas;93700000
2021;12500;200002;91003;Sobre Transmisiones de vehículos;2500000
2021;12500;201000;91003;Documentos Notariales;51800000
2021;12500;201002;91003;Documentos Administrativos;1600000
2021;12500;202000;91003;Sobre operaciones societarias;1500000
2021;12500;210001;91003;I.V.A. Sobre Operaciones Internas;1164274950
2021;12500;210017;91003;IVA Liquidación Ejercicios Anteriores;-17944650
2021;12500;220000;91003;Sobre el alcohol y bebidas derivadas;14479170
2021;12500;220001;91003;Sobre Cerveza;5803110
2021;12500;220003;91003;Sobre labores de tabaco;128627250
2021;12500;220005;91003;Sobre determinados medios de transporte;6000000
2021;12500;220006;91003;Sobre productos intermedios;337680
2021;12500;220007;91003;Sobre energía (electricidad);59250180
2021;12500;220008;91003;Sobre hidrocarburos;334193710
2021;12500;220009;91003;Impuesto Especial (Ejercicios anteriores);-26698420
2021;12500;231000;91003;S/ sobre grandes áreas de venta;4668000
2021;12500;232000;91003;S/ Emisiones contaminantes;156000
2021;12500;234000;91003;S/ aprovechamiento hidroeléctrico;17045460
2021;12500;235000;91003;S/ líneas de alta tensión;2016000
2021;12500;240000;91003;Casinos;350000
2021;12500;240001;91003;Bingos;5600000
2021;12500;240002;91003;Máquinas recreativas;22465500
2021;12500;240003;91003;Loterías,rifas,boletos y combinaciones aleatorias;1800000
2021;12500;240004;91003;Bingo Electrónico;195000
2021;12500;250000;91003;Impuesto s/ actividades de juego;3200000
2021;12500;300050;91003;Venta de Bienes de Cortes de Aragón;13245
2021;12500;301050;91003;Venta de Publicac. de Cortes de Aragón;4796
2021;12500;301100;91003;Venta de Publicaciones Departamentos y Org. Públic;3000
2021;12500;302000;91003;Venta de cartones de bingo;160000
2021;12500;303000;91003;Venta de impresos;3000
2021;12500;310050;91003;Entradas Cortes de Aragón;157337
2021;12500;319006;91003;Prestación Serv. de Educ., Cult. y Dpte;1944932,78
2021;12500;319103;91003;Prestación de servicios en guarderías;947405,06
2021;12500;319118;91003;Prestación Servicios RACI;17680,46
2021;12500;319200;91003;Prestación Servicios - Copagos;144602,44
2021;12500;319201;91003;Prest Serv - Asesoramiento Jurídico EP, Fund y Con;200000
2021;12500;319321;91003;Transporte Sanitario por Helicóptero;220000
2021;12500;319324;91003;Prestación del servicio de comedor;14933975,28
2021;12500;329001;91003;Tasa 01- Dirección e inspección de obras;1625000
2021;12500;329003;91003;Tasa 03- Serv.admvos, redacc. informes,activ. fac.;67973
2021;12500;329004;91003;Tasa 04- Por Autorizacones Espectáculos Públicos;18525
2021;12500;329005;91003;Tasa 05-S. Mat. orde. transp. terr carretera;1000000
2021;12500;329010;91003;Tasa 10-S. facultativos agronómicos;8375
2021;12500;329011;91003;Tasa 11-Servicios  facultativos veterinarios;600000
2021;12500;329012;91003;Tasa 12-Ins. y ctroles sanitarios  anim y sus prod;1840000
2021;12500;329013;91003;Tasa 13-Aut., Inspec., materia centros sanitarios;600000
2021;12500;329014;91003;Tasa 14-Ord. activ. indust. energ. metrol. mineras;2130000
2021;12500;329015;91003;Tasa 15-Serv. exped. titulos académicos y profesio;596826,08
2021;12500;329017;91003;Tasa 17-S. facul. montes, forestales y v. pecuaria;450000
2021;12500;329019;91003;Tasa 19-S. Adtvod y Técnicos de juego;485000
2021;12500;329020;91003;Tasa 20-Aut, Insp y actu. cen y est. farmaceúticos;50000
2021;12500;329021;91003;Tasa 21-Aut. Insp. centros Servicios Sociales;30000
2021;12500;329022;91003;Tasa 22-Inserción anuncios en el BOA;730000
2021;12500;329023;91003;Tasa 23-Inscripción y Publicidad Asoc,Fun,CP y CCA;59000
2021;12500;329024;91003;Tasa 24-Derechos Examen pruebas selectiva C.Aut.;500000
2021;12500;329025;91003;Tasa 25-S. Registro Territorial P.Intelectual de A;9000
2021;12500;329032;91003;Tasa 32-Tasa act. serv. radiodifusión y televisión;1500
2021;12500;329037;91003;Tasa 37-Tasa dchos. de exam. pruebas de acceso FP;677280
2021;12500;329038;91003;Tasa 38- S. admtvos diligencias bastanteo de poder;6084
2021;12500;329039;91003;Tasa39-Insc pruebas obt. tit. postobligatorios;60000
2021;12500;329042;91003;Tasa 42 - Análisis e Informes del Lab. Salud Públi;20000
2021;12500;329043;91003;Tasa 43- Inscripción Cooperativas y Sdes. Laboral;7400
2021;12500;329044;91003;Tasa 44- Autorización Agencias de Colocación;17700
2021;12500;329045;91003;Tasa 45- Inscripción Centros Colaboradores;82100
2021;12500;329046;91003;Tasa 46- Serv. prestados Reg. Cooperativas Aragón;19000
2021;12500;329047;91003;Tasa 47- Serv. prestados Reg. adm. Sociedades Lab.;1300
2021;12500;330000;91003;Precios Públicos del Laboratorio Agroalimentario;52000
2021;12500;330005;91003;Precios Públicos en materia de deportes;44000
2021;12500;330006;91003;Instalaciones deportivas;57600
2021;12500;330007;91003;Actividades Deportivas;4250
2021;12500;330012;91003;Precios Públicos de Caza y Pesca;155000
2021;12500;330013;91003;Precios Públicos Medicina Legal de Aragón (IMLA);50000
2021;12500;390000;91003;Costas por sentencias judiciales;200000
2021;12500;391000;91003;Daños en carreteras;85000
